reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
10645-400MP,400,,,4.9,,,13.7,11.8
10645-410LP,410,,,3.7,,,15.4,13.1
10645-450MP,450,,,5.1,,,14.1,12.2
10645-480HP,480,,,5.7,,,13.5,11.5
10645-500LP,500,,,4.1,,,16.3,13.8
10645-500MP,500,,,5.3,,,14.7,12.8
10645-550HP,550,,,5.8,,,14.6,12.4
10645-550MP,550,,,5.4,,,15.2,13.1
10645-600MP,600,,,5.5,,,16,13.8
10645-650MP,650,,,5.7,,,16.6,14.3
10645-700MP,700,,,5.9,,,16.9,14.5
10646-200RB,200,,9.8,4.9,,,,
10646-220RB,220,,9.9,5,,,,
10646-235RB,235,,10.1,5.1,,,,
10646-255RB,255,,10.4,5.2,,,,
10646-270RB,270,,10.7,5.3,,,,
10646-320RB,320,,11.3,5.5,,,,
10646-370RB,370,,11.9,5.7,,,,
10646-425RB,425,,12.5,5.8,,,,
10676-210E,210,,,3.8,,,10,11
10676-240E,240,,,4,,,10.5,11.5
10676-275E,275,,,4.2,,,11,12
10676-310E,310,,,4.4,,,11.5,12.5
10676-350E,350,,,4.6,,,12,13
10676-400E,400,,,4.8,,,12.5,13.5
10676-450E,450,,,5,,,13,14
20610-160LP,160,,10.5,2.5,,,,
20610-190LP,190,,11.4,2.6,,,,
20610-220LP,220,,12.1,2.7,,,,
20610-250LP,250,,12.3,2.8,,,,
20610-280LP,280,,13,2.9,,,,
20610-310LP,310,,13.4,3,,,,
20610-340LP,340,,13.7,3.1,,,,
20610-370LP,370,,14.5,3.1,,,,
20610-400LP,400,,14.8,3.2,,,,
20610-450LP,450,,15.4,3.2,,,,
20610-500LP,500,,15.9,3.3,,,,
20610-550LP,550,,16.5,3.5,,,,
20610-600LP,600,,17,3.7,,,,
20610-650LP,650,,17.5,3.8,,,,
20610-700LP,700,,17.9,3.8,,,,
20621-175MP,175,,9.3,3.7,,,,
20621-195MP,195,,9.7,3.9,,,,
20621-215MP,215,,10,3.9,,,,
20621-235MP,235,,10.5,3.9,,,,
20621-255MP,255,,11,3.9,,,,
20621-285MP,285,,11.4,4,,,,
20621-305MP,305,,11.7,4,,,,
20621-325MP,325,,11.8,4.4,,,,
20621-355MP,355,,12.1,4.4,,,,
20621-385MP,385,,12.5,4.5,,,,
20621-415MP,415,,12.9,4.6,,,,
20621-435MP,435,,13.2,4.6,,,,
20621-455MP,455,,13.3,4.8,,,,
20621-485MP,485,,13.6,4.8,,,,
20621-505MP,505,,13.7,4.9,,,,
20621-525MP,525,,13.8,5,,,,
20621-540MP,540,,13.9,5.1,,,,
20621-575MP,575,,14.1,5.2,,,,
20621-590MP,590,,14.3,5.3,,,,
20621-625MP,625,,14.6,5.3,,,,
20621-650MP,650,,14.8,5.4,,,,
20621-695MP,695,,15.1,5.5,,,,
20621-190HP,190,,9.6,4,,,,
20621-205HP,205,,9.9,4.1,,,,
20621-225HP,225,,10.2,4.2,,,,
20621-240HP,240,,10.5,4.3,,,,
20621-255HP,255,,10.8,4.4,,,,
20621-280HP,280,,11.1,4.5,,,,
20621-300HP,300,,11.4,4.6,,,,
20621-330HP,330,,11.7,4.7,,,,
20621-350HP,350,,12,4.8,,,,
20621-385HP,385,,12.3,4.9,,,,
20621-415HP,415,,12.5,5,,,,
20621-440HP,440,,12.8,5.1,,,,
20621-470HP,470,,13.1,5.2,,,,
20621-505HP,505,,13.4,5.3,,,,
20621-535HP,535,,13.7,5.4,,,,
20621-565HP,565,,14,5.5,,,,
20646-200RB,200,,9.8,4.9,,,,
20646-220RB,220,,9.9,5,,,,
20646-235RB,235,,10.1,5.1,,,,
20646-255RB,255,,10.4,5.2,,,,
20646-270RB,270,,10.7,5.3,,,,
20646-320RB,320,,11.3,5.5,,,,
20646-370RB,370,,11.9,5.7,,,,
20646-425RB,425,,12.5,5.8,,,,
20645-180MP,180,,,3.9,,,10,8.9
20645-210MP,210,,,4,,,11,9.6
20645-250MP,250,,,4.2,,,12,10.3
20645-290MP,290,,,4.5,,,12.3,10.7
20645-330MP,330,,,4.5,,,13,11.2
20645-370MP,370,,,4.7,,,13.4,11.4
20645-400MP,400,,,4.9,,,13.7,11.8
20645-450MP,450,,,5.1,,,14.1,12.2
20645-500MP,500,,,5.3,,,14.7,12.8
20645-550MP,550,,,5.4,,,15.2,13.1
20645-600MP,600,,,5.5,,,16,13.8
20645-650MP,650,,,5.7,,,16.6,14.3
20645-700MP,700,,,5.9,,,16.9,14.5
20645-180HP,180,,,4.3,,,9.8,8.3
20645-240HP,240,,,4.7,,,10.5,8.9
20645-300HP,300,,,5,,,11.4,10.1
20645-370HP,370,,,5.3,,,12.5,10.8
20645-480HP,480,,,5.7,,,13.5,11.5
20645-550HP,550,,,5.8,,,14.6,12.4
20676-180E S,180,,,3.6,,,9.5,10.5
20676-210E S,210,,,3.8,,,10,11
20676-240E S,240,,,4,,,10.5,11.5
20676-275E S,275,,,4.2,,,11,12
20676-310E S,310,,,4.4,,,11.5,12.5
20676-350E S,350,,,4.6,,,12,13
20676-400E S,400,,,4.8,,,12.5,13.5
20676-450E S,450,,,5,,,13,14
10610-160LP,160,,10.5,2.5,,,,
10610-190LP,190,,11.4,2.6,,,,
10610-220LP,220,,12.1,2.7,,,,
10610-250LP,250,,12.3,2.8,,,,
10610-280LP,280,,13,2.9,,,,
10610-310LP,310,,13.4,3,,,,
10610-340LP,340,,13.7,3.1,,,,
10610-370LP,370,,14.5,3.1,,,,
10610-400LP,400,,14.8,3.2,,,,
10610-450LP,450,,15.4,3.2,,,,
10610-500LP,500,,15.9,3.3,,,,
10610-550LP,550,,16.5,3.5,,,,
10610-600LP,600,,17,3.7,,,,
10610-650LP,650,,17.5,3.8,,,,
10610-700LP,700,,17.9,3.8,,,,
10621-175MP,175,,9.3,3.7,,,,
