reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
354-3759,375,,13.4,3.9,,,,
354-3857MC,385,,13.7,3.5,,,,
354-4001,400,,13.2,4,,,,
354-4007,400,,13.5,3.9,,,,
354-4009,400,,13.7,3.8,,,,
354-4057MC,405,,14,3.6,,,,
354-4125,125,,8.4,3.6,,,,
354-4150,150,,8.9,3.8,,,,
354-4175,175,,9.4,4,,,,
354-4200,200,,9.9,4.1,,,,
354-4225,225,,10.2,4.3,,,,
354-4250,250,,10.5,4.5,,,,
354-4257MC,425,,14.3,3.6,,,,
354-4275,275,,10.9,4.6,,,,
354-4251,425,,13.5,4.2,,,,
354-4300,300,,11.1,4.7,,,,
354-4325,325,,11.5,4.8,,,,
354-4350,350,,11.7,4.9,,,,
354-4375,375,,12,5,,,,
354-4400,400,,12.3,5.1,,,,
354-4425,425,,12.5,5.2,,,,
354-4450,450,,12.7,5.2,,,,
354-4475,475,,12.9,5.4,,,,
354-4457MC,445,,14.5,3.7,,,,
354-4500,500,,13.2,5.4,,,,
354-4501,450,,13.7,4.1,,,,
354-4751,475,,13.9,4.4,,,,
354-4507,450,,13.9,4.1,,,,
354-4509,450,,13.7,4.6,,,,
354-4550,550,,13.5,5.6,,,,
354-4600,600,,14,5.7,,,,
354-4650,650,,14.3,5.8,,,,
354-4700,700,,14.7,6,,,,
354-4707MC,470,,14.7,3.7,,,,
354-4750,750,,15.1,6,,,,
354-4800,800,,15.4,6.3,,,,
354-4907MC,490,,14.9,3.8,,,,
354-5001,500,,14.1,4.2,,,,
354-5007,500,,14.2,4.3,,,,
354-5009,500,,14.2,4.8,,,,
354-5107MC,510,,15.1,3.8,,,,
354-5135,135,,8,4.3,,,,
354-5160,160,,8.4,4.5,,,,
354-5185,185,,8.6,4.6,,,,
354-5215,215,,8.9,4.7,,,,
354-5240,240,,9.2,4.9,,,,
354-5251,525,,14.4,4.6,,,,
354-5270,270,,9.5,5,,,,
354-5295,295,,9.9,5.2,,,,
354-5320,320,,10,5.3,,,,
354-5350,350,,10.3,5.4,,,,
354-5375,375,,10.5,5.5,,,,
354-5400,400,,10.8,5.6,,,,
354-5430,430,,11.1,5.8,,,,
354-5455,455,,11.3,5.9,,,,
354-5480,480,,11.6,6,,,,
354-5501,550,,14.4,4.4,,,,
354-5507,550,,14.8,4.4,,,,
354-5509,550,,14.5,4.5,,,,
354-5535,535,,12.1,6.3,,,,
354-5557MC,555,,15.4,4,,,,
354-5590,590,,12.6,6.5,,,,
354-5751,575,,14.9,4.7,,,,
354-5957MC,595,,15.8,4.1,,,,
354-5700,700,,13.4,6.7,,,,
354-6001,600,,14.7,4.5,,,,
354-6501,650,,15.5,4.9,,,,
354-6007,600,,15.4,4.5,,,,
354-6009,600,,15.3,4.6,,,,
354-6407MC,640,,16.3,4.2,,,,
354-6807MC,680,,16.7,4.2,,,,
354-7001,700,,15.7,4.8,,,,
354-7007,700,,16.8,4.3,,,,
354-7501,750,,16.2,5.1,,,,
354-7009,700,,16.3,5,,,,
354-7507MC,750,,17.2,4.3,,,,
354-8001,800,,16.6,5,,,,
354-8007,800,,17.2,4.6,,,,
354-8007MC,800,,17.6,4.4,,,,
354-8009,800,,16.7,5.4,,,,
SHPX150,150,,8.3,4.1,,,,
SHPX180,180,,8.8,4.4,,,,
SHPX200,200,,9.2,4.5,,,,
SHPX235,235,,9.5,4.9,,,,
SHPX260,260,,9.9,5,,,,
SHPX285,285,,10.3,5,,,,
SHPX335,335,,10.7,5.4,,,,
SHPX355,355,,11,5.5,,,,
SHPX380,380,,11.3,5.5,,,,
SHPX415,415,,11.5,5.8,,,,
SHPX450,450,,11.9,5.9,,,,
SHPX465,465,,12.1,5.8,,,,
SHPX490,490,,12.5,5.8,,,,
SHPX535,535,,12.7,6,,,,
SHPX560,560,,12.7,6.3,,,,
SHPX595,595,,13.1,6.3,,,,
SHPX650,650,,13.5,6.5,,,,
SHPX700,700,,14.1,6.5,,,,
SHPX755,755,,14.4,6.7,,,,
SHPX790,790,,14.8,6.7,,,,
SMPX115,115,,8.3,3.1,,,,
SMPX130,130,,8.9,3.1,,,,
SMPX160,160,,9.5,3.3,,,,
SMPX190,190,,10,3.4,,,,
SMPX215,215,,10.4,3.6,,,,
SMPX240,240,,10.8,3.7,,,,
SMPX270,270,,11.4,3.8,,,,
SMPX295,295,,11.5,4,,,,
