PrimaryDI|deviceId|deviceIdType|deviceIdIssuingAgency|containsDINumber|pkgQuantity|pkgDiscontinuedate|pkgStatus
d8a8e327-f2f7-4a77-9206-ff33ae7c55f7|10888628000865|Primary|GS1||||
2c067450-bd78-4bc6-bef7-2d03f5069598|10888628000834|Primary|GS1||||
6767c973-8e3b-45ff-967a-d1dbeafe3c33|10888628000827|Primary|GS1||||
2a1d0472-cb2a-4f22-af7e-6bd399655976|10888628000803|Primary|GS1||||
6a8a0227-c7fe-4cee-84f6-dfaf413cbdbf|10888628000742|Primary|GS1||||
cb0f1541-574b-4f49-a0d5-1f227aeb2ce1|10888628000681|Primary|GS1||||
ffb9cc5c-9a7b-4bd1-918c-a2dabec0d4d3|10888628000544|Primary|GS1||||
9e112ef1-3f1c-4c9a-a75f-293b58b32e8e|10888628000513|Primary|GS1||||
bf940c90-24f4-49b7-8155-1a151d09cd3d|10888628000506|Primary|GS1||||
a5e73f37-5562-40ef-9498-740ee3746aac|10888628000476|Primary|GS1||||
a315fe9a-0539-495a-ad00-6e068534f90a|10888628000391|Primary|GS1||||
9e521552-307f-465a-aed2-cec7368a97d9|10888628000384|Primary|GS1||||
1cf95e63-0634-490f-974b-88e6ce83bcbf|10888628000377|Primary|GS1||||
832d13f2-a9f4-4eaf-ab72-775b52e53d99|10888628000346|Primary|GS1||||
b373f08f-c7b1-4418-a539-be50a01626a6|10888628000315|Primary|GS1||||
3fd73c67-cdcb-4887-8a3c-174ad369da07|10888628000292|Primary|GS1||||
5477ea14-e529-4889-b6a2-a85c1526da17|10888628000278|Primary|GS1||||
6583e5f0-52d2-4445-a89e-57f6573e0960|10888628000254|Primary|GS1||||
083dd175-580e-464c-bf67-91dc0350d6fe|10888628000193|Primary|GS1||||
e235fc42-b517-4847-a94f-4596835e05f6|00081317009054|Primary|GS1||||
0a9c6e7b-02af-437e-a59e-c153ea4a5c7f|00081317004561|Primary|GS1||||
7aaa39f3-2abd-4d32-b1d6-62554f58d909|00081317004059|Primary|GS1||||
9e659433-a608-4992-b059-09b408f7c36b|00081317002123|Primary|GS1||||
235d1d77-0567-4643-accf-f483bd6e2d09|00081317002093|Primary|GS1||||
